"Model element","Current reference value","Current sensitivity or alternatives","Current status","Evidence needed","Proposed disposition"
"Simulation step","15 minutes","No step-size convergence test recorded","Analytical assumption","Numerical convergence and event-ordering assessment","Retain only if a step-size convergence test shows conclusions are stable"
"Simulation horizon","48 hours","24 and 72 hours","Stress-test assumption","Incident recovery timelines and purpose of acute-phase model","Keep an acute horizon but add longer recovery scenarios or a separate recovery model"
"Base spread rate","0.35 per permitted edge per step","0.20–0.50","Unsupported mechanistic assumption","Telemetry is unlikely to identify a universal rate; expert review and pattern calibration","Treat as a latent stress parameter, not a hospital estimate"
"Patch effectiveness","0.85 reduction multiplier for patched targets","0.50–0.95","Unsupported mechanistic assumption","Vulnerability-specific exploitability or scenario classes","Replace the universal efficacy number with vulnerability/scenario classes where feasible"
"Patch coverage profiles","25%, 50%, and 75%; intervention to 90%","25%–90% sweep","Synthetic profile assumption","Authorized asset-management summaries or published sector surveys","Use evidence-informed distributions; do not label profiles as real hospital categories"
"Detection delay profiles","24, 12, and 3 steps (6 h, 3 h, and 45 min)","3–24 steps","Synthetic profile assumption","Incident timelines, exercise observations, or structured elicitation","Model a distribution and separate detection from decision and containment delays"
"Isolation success","0.50, 0.70, and 0.90 by profile","0.50–0.95","Synthetic profile assumption","Exercise or response-team evidence about successful containment","Elicit scenario-dependent ranges and include implementation failure modes"
"False-positive isolation rate","0.002 per healthy node per step","0–0.005","Unsupported mechanistic assumption","Local monitoring/response telemetry or literature specific to the selected tooling","Exclude from empirical claims unless supported; retain as a stress parameter"
"Identity compromise multiplier","1.5","1.0–2.0","Unsupported mechanistic assumption","Expert assessment of how identity compromise changes reachable paths","Replace the scalar with explicit identity-dependent access paths if possible"
"Restoration throughput","2% of nodes per step; minimum 1 node","1%–4% per step","Synthetic recovery assumption","Public recovery timelines, exercise data, system rebuild sequencing, and staffing constraints","Use service/system restoration queues and evidence-informed capacity ranges"
"Restoration duration","2 steps (30 min) after selection","1–4 steps in prior sensitivity work","Synthetic recovery assumption","System-specific rebuild and validation times","Model distributions by asset/service class rather than one duration"
"No-backup restoration penalty","0.25 throughput multiplier","No dedicated global range","Unsupported recovery assumption","Backup/rebuild process evidence and expert elicitation","Replace with explicit recovery pathways; otherwise stress-test broadly"
"Service functional threshold","60% of supporting nodes","45%–75%","Outcome-definition assumption","Healthcare workflow mapping and expert elicitation","Report service-specific downtime and vary thresholds; do not call 60% a clinical standard"
"Sustained critical-outage definition","More than 8 steps (>2 h)","1 h and 4 h structural tests","Outcome-definition assumption","Clinical/operational expert judgment and process-delay studies","Rename as a modeled sustained-outage indicator unless a defensible clinical threshold is established"
"Service weights","EHR 1.0; lab 0.8; pharmacy 0.9; imaging 0.7; scheduling 0.4; identity 0.9; backup/recovery 0.6","Limited prior weight stress tests","Value judgment","Structured multi-stakeholder elicitation","Publish unweighted service outcomes and treat weights as uncertain"
"Synthetic network sizes","40–60, 200–300, and 750–1000 nodes","Three scale categories","Synthetic abstraction","Authorized asset summaries or normalized topology benchmarks","Use neutral scale labels until externally calibrated"
"Intra-/cross-zone degree","3.0 and 2.0 mean out-degree","2–5 and 1–4","Synthetic topology assumption","Anonymized dependency summaries or expert-reviewed topology templates","Use multiple topology families and reserve one for validation"
"Segmentation modifiers","Flat 1.0; basic 0.50; least privilege 0.25","No direct empirical calibration","Synthetic control assumption","Explicit permitted-path changes under named architectures","Model edge removal/restriction directly rather than universal efficacy multipliers"
"Backup traversal","Connected 1.0; periodic 0.30; isolated 0.0","Isolated residual path 0–0.10","Stress-test abstraction","Backup credentials, management-plane separation, and reconnection scenarios","Represent explicit access paths; never interpret the multiplier as a real compromise probability"
"Normalized control costs","Integer points 2–5 per component","Independent ±50% perturbations and budgets 5/10/15","Abstract decision assumption","Implementation effort ranges or transparent multi-criteria scoring","Keep as normalized effort only or replace with documented ranges; never present as dollars"
"Three derived secondary ratios","Previously unreconciled","Excluded from manuscript claims","Verification failure","Definition, denominator, terminal-state, and invariant tests","Repair and independently reproduce before any future inferential use"
